address,num_of_common,num_of_bronze,num_of_silver,num_of_gold,num_of_platinum,num_of_brilliant
omniflix1avfq3naf5hckj50qd7y69jjzceeuvj38hcquuz,0,1,2,2,0,0
omniflix1khjfywcjgxw4rhe9msssxn5f8jezlkvhvmhcyg,1,0,1,0,0,0
omniflix1teu4zqtp2ukrx9krae9svu02stqkx2fd7gnc9z,0,4,1,0,0,0
omniflix1sykyzqgj2vu9lspffn6lt4avc202jhaggmt0gu,0,2,2,2,0,0
omniflix1fj02rsunfhcyuwqrax4a24stj7xlw5yflcfk7h,3,0,0,0,0,0
omniflix12ys5emjv26lj3uajumgtuxx0salfqpxy9l4war,3,0,0,0,0,0
omniflix1x2d2fymxukecm83fp5y64wd5hh2rca54zh6wu0,0,3,0,0,0,0
omniflix1f9mtq87fje0ygke50rjphxpz2n48gduu97ew7t,0,6,0,0,0,0
omniflix1kdq8rd5rs536xse3evh97kvkyxhxj7egspvyhl,0,2,0,0,0,0
omniflix1yk8svemejxh6t7z28ayzjcnuc20650dz4xupjt,1,2,0,0,0,0
omniflix1wvyjs97aqfrns4wrgk7exvtcdc8z9gnyn727cx,0,2,0,0,0,0
omniflix1y3j4jywlfe7j584su2t0wn7up0lha6xma692us,0,1,2,0,0,0
omniflix193z2jl2lxdrwygrt2wjxadsp62ssr0rzg0rgaa,0,2,2,0,0,0
omniflix1mqxnterj9u659uz2kqfpn47me2eecrude95q4c,0,2,0,0,0,0
omniflix1vgzedhagnpzz82njc96fqt8f899sr8ujnn04h5,0,1,0,0,0,0
omniflix1a688wr8cylrfrc3sk8nqemd8q06ferymq5d3n4,3,0,0,0,0,0
omniflix1wf5gj6rek5qvf3myhs0qme5aex28nu7r0scvew,0,3,2,2,0,0
omniflix1xgu7mf3jran0q6hvfeug9r5ggfenlsd7dckre8,0,2,0,0,0,0
omniflix1h5g84yar2lra4wljq4pxuc7fpw0uuget3923qu,1,0,0,0,0,0
omniflix14cqr66z2uxezu6djuezag4jwhdwpx3uy543cz3,0,2,0,0,0,0
omniflix16sq0mr09h5mepugjxemamke5k2dsa9z049qct9,1,1,0,0,0,0
omniflix15aldgqt4taqrszpyj7408d052hpj40s3up9zet,1,1,0,0,0,0
omniflix1xcl6k5fgpswuhrh624ghwyvz0qv7kmqylj3ytx,0,2,0,0,0,0
omniflix13h5hwm84mdgl38u3jw9es222ul3mtede02yphr,2,0,0,0,0,0
omniflix1m8u5u7k25ardju5tw4gx06d62zgpdnpr257tva,1,1,4,0,0,0
omniflix1jy30r78m67w996skxn4kvafy55f8k3h2nxr060,3,0,0,0,0,0
omniflix1wjqv397axvgtkdg7qfyh5jqlc5fdcx0ytsumum,3,0,0,0,0,0
omniflix1k0vsgn74n2aq0ezvgun237y5ys7nm3nv3t44s2,1,2,0,0,0,0
omniflix1573lxmlxpcjch4vgh2n9jeak7efrz4fkda78qk,0,1,4,0,0,0
